Source,Study_ID,Publication_status,ISO3,Country_Territory,Longitude_decimal_degrees,Latitude_decimal_degrees,Biogeographic_region,Coastal_typology,Mean_diameter_cm,Mean_canopy_heigth_m,Stand_basal_area_m2.ha,Stand_density_stems.ha,Aboveground_biomass_Mg.ha,Number_of_species_in_plot,Notes
Mochel 1999,1133_22,Published,BRA,Brazil,-45.298461,-1.60450556,Atlantic East Pacific,III Tidal system,19.21,15.5,14.83,350,123.9,NA,
Mochel 1999,1133_23,Published,BRA,Brazil,-45.298461,-1.60450556,Atlantic East Pacific,III Tidal system,17.03,10,14.5,583,78.16,NA,
Mochel 1999,1133_24,Published,BRA,Brazil,-45.298461,-1.60450556,Atlantic East Pacific,III Tidal system,28.41,17,33,500,302.38,NA,
Mochel 1999,1133_25,Published,BRA,Brazil,-45.298461,-1.60450556,Atlantic East Pacific,III Tidal system,8.76,5,4.17,533,11.24,NA,
Mochel 1999,1133_26,Published,BRA,Brazil,-45.298461,-1.60450556,Atlantic East Pacific,III Tidal system,34.68,19,20.33,200,208.2,NA,
Mochel 1999,1133_3,Published,BRA,Brazil,-45.298461,-1.60450556,Atlantic East Pacific,III Tidal system,19.8,8,12.5,350,53.9,NA,
Mochel 1999,1133_4,Published,BRA,Brazil,-45.298461,-1.60450556,Atlantic East Pacific,III Tidal system,4.8,5.5,5,2000,14.82,NA,
Mochel 1999,1133_5,Published,BRA,Brazil,-45.298461,-1.60450556,Atlantic East Pacific,III Tidal system,19.84,10,3.67,117,19.78,NA,
Mochel 1999,1133_6,Published,BRA,Brazil,-45.298461,-1.60450556,Atlantic East Pacific,III Tidal system,3.3,3,2,2000,3.23,NA,
Mochel 1999,1133_7,Published,BRA,Brazil,-45.298461,-1.60450556,Atlantic East Pacific,III Tidal system,22.22,14,22.33,550,168.5,NA,
Mochel 1999,1133_8,Published,BRA,Brazil,-45.298461,-1.60450556,Atlantic East Pacific,III Tidal system,31.79,19,36.5,383,373.8,NA,
Mochel 1999,1133_9,Published,BRA,Brazil,-45.298461,-1.60450556,Atlantic East Pacific,III Tidal system,11.99,13.5,8.17,667,59.45,NA,
Motta Portillo et al. 2017,1057_1,Published,BRA,Brazil,-40.158094,-19.94981111,Atlantic East Pacific,III Tidal system,4,3.3,3.77,3000,2.61,1,
Motta Portillo et al. 2017,1057_2,Published,BRA,Brazil,-40.158094,-19.94981111,Atlantic East Pacific,III Tidal system,3.73,4.1,9.72,8900,10.81,3,
Motta Portillo et al. 2017,1057_3,Published,BRA,Brazil,-40.158094,-19.94981111,Atlantic East Pacific,III Tidal system,4.93,5.3,14.12,7400,12.25,3,
Motta Portillo et al. 2017,1057_4,Published,BRA,Brazil,-40.158094,-19.94981111,Atlantic East Pacific,III Tidal system,4.5,4.43,11.76,7400,12.3,3,
Motta Portillo et al. 2017,1057_5,Published,BRA,Brazil,-40.158094,-19.94981111,Atlantic East Pacific,III Tidal system,8,5,2.01,400,3.24,1,
Motta Portillo et al. 2017,1057_6,Published,BRA,Brazil,-40.158094,-19.94981111,Atlantic East Pacific,III Tidal system,4.76,4.6,4.45,2500,7.4,3,
Msangameno et al. 2017,3046_1,Published,TZA,Tanzania,39.203082,-6.151023,Indo West Pacific,II Small delta,10.05,4.04,21.56,2717,46.95,5,
Msangameno et al. 2017,3046_2,Published,TZA,Tanzania,39.210757,-5.931475,Indo West Pacific,II Small delta,6.5,3.02,4.74,1427,7.72,5,
Msangameno et al. 2017,3046_3,Published,TZA,Tanzania,39.226316,-5.89359,Indo West Pacific,II Small delta,9.48,4.8,13.31,1885,34.44,6,
Msangameno et al. 2017,3046_4,Published,TZA,Tanzania,39.230137,-5.815601,Indo West Pacific,II Small delta,8.85,4.36,15.42,2509,36.24,6,
Mu???z et al. 2006,1134,Published,MEX,Mexico,-97.328144,20.91928611,Atlantic East Pacific,IV Lagoon,11.77,6.98,20.13,1850,75.77,3,
Murdiyarso et al. 2015,3004_1,Published,IDN,Indonesia,133.535806,-2.14277334,Indo West Pacific,II Small delta,23.27,20.8,59.79,1235,671.26,NA,
Murdiyarso et al. 2015,3004_10,Published,IDN,Indonesia,133.541504,-2.15168564,Indo West Pacific,II Small delta,28.97,22.4,75.19,1430,907.91,NA,
Murdiyarso et al. 2015,3004_100,Published,IDN,Indonesia,109.443694,-0.67122222,Indo West Pacific,II Small delta,14.32,19.3,24.86,1105,258.7,NA,
Murdiyarso et al. 2015,3004_101,Published,IDN,Indonesia,109.443694,-0.67122222,Indo West Pacific,II Small delta,22.68,21.5,36,1105,417.48,NA,
Murdiyarso et al. 2015,3004_102,Published,IDN,Indonesia,109.443694,-0.67122222,Indo West Pacific,II Small delta,12.53,19.4,16.94,975,177.09,NA,
Murdiyarso et al. 2015,3004_103,Published,IDN,Indonesia,104.67725,-2.06747222,Indo West Pacific,III Tidal system,34.12,25,32.84,975,442.2,NA,
Murdiyarso et al. 2015,3004_104,Published,IDN,Indonesia,104.67725,-2.06747222,Indo West Pacific,III Tidal system,20.88,19.1,14.36,520,148.12,NA,
Murdiyarso et al. 2015,3004_105,Published,IDN,Indonesia,104.67725,-2.06747222,Indo West Pacific,III Tidal system,40.86,23.6,37.69,845,478.62,NA,
Murdiyarso et al. 2015,3004_106,Published,IDN,Indonesia,104.67725,-2.06747222,Indo West Pacific,III Tidal system,22.2,20.3,24.72,715,270.49,NA,
Murdiyarso et al. 2015,3004_107,Published,IDN,Indonesia,104.67725,-2.06747222,Indo West Pacific,III Tidal system,32.41,20.3,16.93,455,185.05,NA,
Murdiyarso et al. 2015,3004_108,Published,IDN,Indonesia,104.67725,-2.06747222,Indo West Pacific,III Tidal system,28.7,21.5,35.34,455,408.94,NA,
Murdiyarso et al. 2015,3004_109,Published,IDN,Indonesia,104.582778,-2.00605556,Indo West Pacific,III Tidal system,23.09,20.5,30.69,1365,339.27,NA,
Murdiyarso et al. 2015,3004_11,Published,IDN,Indonesia,133.541307,-2.15176351,Indo West Pacific,II Small delta,38,22.7,24.27,715,296.94,NA,
Murdiyarso et al. 2015,3004_110,Published,IDN,Indonesia,104.582778,-2.00605556,Indo West Pacific,III Tidal system,18.88,19.3,20.71,1040,215.51,NA,
Murdiyarso et al. 2015,3004_111,Published,IDN,Indonesia,104.582778,-2.00605556,Indo West Pacific,III Tidal system,22.09,21,36.76,975,416.48,NA,
Murdiyarso et al. 2015,3004_112,Published,IDN,Indonesia,104.582778,-2.00605556,Indo West Pacific,III Tidal system,15.66,16.7,17.24,1170,155.61,NA,
Murdiyarso et al. 2015,3004_113,Published,IDN,Indonesia,104.582778,-2.00605556,Indo West Pacific,III Tidal system,22.38,19.6,30.53,1170,322.98,NA,
Murdiyarso et al. 2015,3004_114,Published,IDN,Indonesia,104.582778,-2.00605556,Indo West Pacific,III Tidal system,9.55,15.4,7.08,715,58.72,NA,
Murdiyarso et al. 2015,3004_115,Published,IDN,Indonesia,104.567778,-2.00291667,Indo West Pacific,III Tidal system,15.58,20.2,22.09,1430,240.91,NA,
Murdiyarso et al. 2015,3004_116,Published,IDN,Indonesia,104.567778,-2.00291667,Indo West Pacific,III Tidal system,20.97,21.8,58.72,1885,689.01,NA,
Murdiyarso et al. 2015,3004_117,Published,IDN,Indonesia,104.567778,-2.00291667,Indo West Pacific,III Tidal system,19.23,22.2,51.8,1560,619.61,NA,
Murdiyarso et al. 2015,3004_118,Published,IDN,Indonesia,104.567778,-2.00291667,Indo West Pacific,III Tidal system,30.04,24.8,26.44,780,352.78,NA,
Murdiyarso et al. 2015,3004_119,Published,IDN,Indonesia,104.567778,-2.00291667,Indo West Pacific,III Tidal system,23.76,23.3,40.76,845,512.66,NA,
Murdiyarso et al. 2015,3004_12,Published,IDN,Indonesia,133.541099,-2.1518503,Indo West Pacific,II Small delta,28.06,19.5,29.52,1430,310.61,NA,
Murdiyarso et al. 2015,3004_120,Published,IDN,Indonesia,104.567778,-2.00291667,Indo West Pacific,III Tidal system,16.84,20.4,25.77,1170,282.7,NA,
Murdiyarso et al. 2015,3004_121,Published,IDN,Indonesia,104.471417,-1.90341667,Indo West Pacific,III Tidal system,18.62,20.3,30.33,1105,331.37,NA,
Murdiyarso et al. 2015,3004_122,Published,IDN,Indonesia,104.471417,-1.90341667,Indo West Pacific,III Tidal system,18.6,19.5,19.5,1040,204.74,NA,
Murdiyarso et al. 2015,3004_123,Published,IDN,Indonesia,104.471417,-1.90341667,Indo West Pacific,III Tidal system,20.5,20.8,38.79,910,435.71,NA,
Murdiyarso et al. 2015,3004_124,Published,IDN,Indonesia,104.471417,-1.90341667,Indo West Pacific,III Tidal system,21.05,17.1,16.95,1365,156.3,NA,
Murdiyarso et al. 2015,3004_125,Published,IDN,Indonesia,104.471417,-1.90341667,Indo West Pacific,III Tidal system,20.07,21.1,29.1,1105,331.35,NA,
Murdiyarso et al. 2015,3004_126,Published,IDN,Indonesia,104.471417,-1.90341667,Indo West Pacific,III Tidal system,16.42,16.7,8.03,845,72.35,NA,
Murdiyarso et al. 2015,3004_127,Published,IDN,Indonesia,104.58375,-1.92561111,Indo West Pacific,III Tidal system,13.52,15.6,9.36,910,78.75,NA,
Murdiyarso et al. 2015,3004_128,Published,IDN,Indonesia,104.58375,-1.92561111,Indo West Pacific,III Tidal system,22.85,19.6,33.74,845,355.69,NA,
Murdiyarso et al. 2015,3004_129,Published,IDN,Indonesia,104.58375,-1.92561111,Indo West Pacific,III Tidal system,26.91,19,22.81,975,233.25,NA,
Murdiyarso et al. 2015,3004_13,Published,IDN,Indonesia,133.552824,-2.15066646,Indo West Pacific,II Small delta,18.88,17.8,36.26,1235,348.78,NA,
Murdiyarso et al. 2015,3004_130,Published,IDN,Indonesia,104.58375,-1.92561111,Indo West Pacific,III Tidal system,14.86,18.2,24.69,1170,242.13,NA,
Murdiyarso et al. 2015,3004_131,Published,IDN,Indonesia,104.58375,-1.92561111,Indo West Pacific,III Tidal system,22.27,21.1,33.31,1040,378.41,NA,
Murdiyarso et al. 2015,3004_132,Published,IDN,Indonesia,104.58375,-1.92561111,Indo West Pacific,III Tidal system,25.74,19.7,33.87,715,359.45,NA,
Murdiyarso et al. 2015,3004_133,Published,IDN,Indonesia,104.526333,-1.92663889,Indo West Pacific,III Tidal system,15.6,17.9,41.07,2080,395.77,NA,
Murdiyarso et al. 2015,3004_134,Published,IDN,Indonesia,104.526333,-1.92663889,Indo West Pacific,III Tidal system,12.14,14.4,19.75,1950,152.77,NA,
Murdiyarso et al. 2015,3004_135,Published,IDN,Indonesia,104.526333,-1.92663889,Indo West Pacific,III Tidal system,16.71,16.2,16.38,1235,142.81,NA,
Murdiyarso et al. 2015,3004_136,Published,IDN,Indonesia,104.526333,-1.92663889,Indo West Pacific,III Tidal system,22.7,19.5,22.11,1040,232.57,NA,
Murdiyarso et al. 2015,3004_137,Published,IDN,Indonesia,104.526333,-1.92663889,Indo West Pacific,III Tidal system,14.38,18.1,12.91,585,125.92,NA,
Murdiyarso et al. 2015,3004_138,Published,IDN,Indonesia,104.526333,-1.92663889,Indo West Pacific,III Tidal system,25.24,20.8,17.23,780,193.46,NA,
Murdiyarso et al. 2015,3004_139,Published,IDN,Indonesia,111.73775,-2.73666667,Indo West Pacific,II Small delta,21.41,19.2,17.39,455,180.02,NA,
Murdiyarso et al. 2015,3004_14,Published,IDN,Indonesia,133.55282,-2.15044099,Indo West Pacific,II Small delta,21.51,20.5,60.48,1040,669.24,NA,
Murdiyarso et al. 2015,3004_140,Published,IDN,Indonesia,111.73775,-2.73666667,Indo West Pacific,II Small delta,21.84,19.4,27.71,715,289.19,NA,
Murdiyarso et al. 2015,3004_141,Published,IDN,Indonesia,111.73775,-2.73666667,Indo West Pacific,II Small delta,17.22,16.6,15.88,650,142.37,NA,
Murdiyarso et al. 2015,3004_142,Published,IDN,Indonesia,111.73775,-2.73666667,Indo West Pacific,II Small delta,17.71,19.7,30.91,975,328.7,NA,
Murdiyarso et al. 2015,3004_143,Published,IDN,Indonesia,111.73775,-2.73666667,Indo West Pacific,II Small delta,9.83,13.2,11.93,1430,84.85,NA,
Murdiyarso et al. 2015,3004_144,Published,IDN,Indonesia,111.73775,-2.73666667,Indo West Pacific,II Small delta,8.82,12.1,13.99,1950,90.99,NA,
Murdiyarso et al. 2015,3004_145,Published,IDN,Indonesia,111.713833,-2.74127778,Indo West Pacific,II Small delta,16.42,21,20.95,650,236.91,NA,
Murdiyarso et al. 2015,3004_146,Published,IDN,Indonesia,111.713833,-2.74127778,Indo West Pacific,II Small delta,17.7,22.2,35.55,975,425.99,NA,
Murdiyarso et al. 2015,3004_147,Published,IDN,Indonesia,111.713833,-2.74127778,Indo West Pacific,II Small delta,28.26,24.1,44.32,585,575.83,NA,
Murdiyarso et al. 2015,3004_148,Published,IDN,Indonesia,111.713833,-2.74127778,Indo West Pacific,II Small delta,18.19,24.2,23.16,520,302.47,NA,
Murdiyarso et al. 2015,3004_149,Published,IDN,Indonesia,111.713833,-2.74127778,Indo West Pacific,II Small delta,21.8,25.8,25.17,390,350.26,NA,
Murdiyarso et al. 2015,3004_15,Published,IDN,Indonesia,133.552813,-2.15022335,Indo West Pacific,II Small delta,18.59,19,31.39,1170,321.4,NA,
Murdiyarso et al. 2015,3004_150,Published,IDN,Indonesia,111.713833,-2.74127778,Indo West Pacific,II Small delta,10.23,15.7,11.94,1690,101.23,NA,
Murdiyarso et al. 2015,3004_151,Published,IDN,Indonesia,111.698778,-2.78388889,Indo West Pacific,II Small delta,24.2,24.2,40.41,585,526.87,NA,
Murdiyarso et al. 2015,3004_152,Published,IDN,Indonesia,111.698778,-2.78388889,Indo West Pacific,II Small delta,29.03,24.2,64.01,780,834.38,NA,
Murdiyarso et al. 2015,3004_153,Published,IDN,Indonesia,111.698778,-2.78388889,Indo West Pacific,II Small delta,23.97,23.6,14.32,455,181.85,NA,
Murdiyarso et al. 2015,3004_154,Published,IDN,Indonesia,111.698778,-2.78388889,Indo West Pacific,II Small delta,14.03,21,25.36,1300,286.45,NA,
Murdiyarso et al. 2015,3004_155,Published,IDN,Indonesia,111.698778,-2.78388889,Indo West Pacific,II Small delta,9.91,20.9,14.24,975,160.79,NA,
Murdiyarso et al. 2015,3004_156,Published,IDN,Indonesia,111.698778,-2.78388889,Indo West Pacific,II Small delta,15.68,20.6,13.06,390,144.91,NA,
Murdiyarso et al. 2015,3004_157,Published,IDN,Indonesia,111.731806,-2.85594444,Indo West Pacific,II Small delta,17.23,18.8,19.49,715,197.81,NA,
Murdiyarso et al. 2015,3004_158,Published,IDN,Indonesia,111.731806,-2.85594444,Indo West Pacific,II Small delta,22.88,20.6,11.62,260,128.92,NA,
Murdiyarso et al. 2015,3004_159,Published,IDN,Indonesia,111.731806,-2.85594444,Indo West Pacific,II Small delta,22.18,19.2,24.06,910,249.47,NA,
Murdiyarso et al. 2015,3004_16,Published,IDN,Indonesia,133.552804,-2.14999239,Indo West Pacific,II Small delta,21.5,15.5,26.92,780,224.87,NA,
Murdiyarso et al. 2015,3004_160,Published,IDN,Indonesia,111.731806,-2.85594444,Indo West Pacific,II Small delta,28.69,21.6,30.32,520,353.1,NA,
Murdiyarso et al. 2015,3004_161,Published,IDN,Indonesia,111.731806,-2.85594444,Indo West Pacific,II Small delta,17.5,20,9.51,260,102.7,NA,
Murdiyarso et al. 2015,3004_162,Published,IDN,Indonesia,111.731806,-2.85594444,Indo West Pacific,II Small delta,21.9,20,24.8,520,267.63,NA,
Murdiyarso et al. 2015,3004_163,Published,IDN,Indonesia,111.738722,-2.84886111,Indo West Pacific,II Small delta,39.08,21.2,31.38,715,357.86,NA,
Murdiyarso et al. 2015,3004_164,Published,IDN,Indonesia,111.738722,-2.84886111,Indo West Pacific,II Small delta,26.24,21.7,28.16,585,329.74,NA,
Murdiyarso et al. 2015,3004_165,Published,IDN,Indonesia,111.738722,-2.84886111,Indo West Pacific,II Small delta,31.6,20.2,41.68,650,453.03,NA,
Murdiyarso et al. 2015,3004_166,Published,IDN,Indonesia,111.738722,-2.84886111,Indo West Pacific,II Small delta,36.11,21.7,46.92,455,549.6,NA,
Murdiyarso et al. 2015,3004_167,Published,IDN,Indonesia,111.738722,-2.84886111,Indo West Pacific,II Small delta,22.5,20.4,10.27,195,112.92,NA,
Murdiyarso et al. 2015,3004_168,Published,IDN,Indonesia,111.738722,-2.84886111,Indo West Pacific,II Small delta,11.82,17.7,10.24,585,97.65,NA,
Murdiyarso et al. 2015,3004_169,Published,IDN,Indonesia,131.943561,-1.55492751,Indo West Pacific,III Tidal system,33.1,22.6,45.12,585,549.53,NA,
Murdiyarso et al. 2015,3004_17,Published,IDN,Indonesia,133.552796,-2.14977839,Indo West Pacific,II Small delta,21.98,21.2,20.06,845,228.9,NA,
Murdiyarso et al. 2015,3004_170,Published,IDN,Indonesia,131.943926,-1.55380392,Indo West Pacific,III Tidal system,25.24,22.2,26.57,585,318.39,NA,
Murdiyarso et al. 2015,3004_171,Published,IDN,Indonesia,131.943651,-1.55466048,Indo West Pacific,III Tidal system,23.09,22.6,18.53,650,226.02,NA,
Murdiyarso et al. 2015,3004_172,Published,IDN,Indonesia,131.943702,-1.5544776,Indo West Pacific,III Tidal system,31.44,22.8,20.89,845,256.82,NA,
Murdiyarso et al. 2015,3004_173,Published,IDN,Indonesia,131.943773,-1.55426018,Indo West Pacific,III Tidal system,15.62,15.6,11.61,2015,97.72,NA,
Murdiyarso et al. 2015,3004_174,Published,IDN,Indonesia,131.943844,-1.55404458,Indo West Pacific,III Tidal system,26.36,19.3,18.07,1040,188.15,NA,
Murdiyarso et al. 2015,3004_175,Published,IDN,Indonesia,131.967598,-1.55055078,Indo West Pacific,III Tidal system,24.3,21.4,41.05,845,473.5,NA,
Murdiyarso et al. 2015,3004_176,Published,IDN,Indonesia,131.966872,-1.54962768,Indo West Pacific,III Tidal system,20.15,20.9,33.45,975,376.92,NA,
Murdiyarso et al. 2015,3004_177,Published,IDN,Indonesia,131.96748,-1.55038943,Indo West Pacific,III Tidal system,22.72,21.9,30.81,715,363.19,NA,
Murdiyarso et al. 2015,3004_178,Published,IDN,Indonesia,131.967363,-1.55024183,Indo West Pacific,III Tidal system,19.84,20.8,27.07,1040,303.52,NA,
Murdiyarso et al. 2015,3004_179,Published,IDN,Indonesia,131.967212,-1.5500468,Indo West Pacific,III Tidal system,27.69,21.8,37.49,1300,441.49,NA,
Murdiyarso et al. 2015,3004_18,Published,IDN,Indonesia,133.552789,-2.14952427,Indo West Pacific,II Small delta,29.86,19.4,14.94,715,156.33,NA,
Murdiyarso et al. 2015,3004_180,Published,IDN,Indonesia,131.967047,-1.54983307,Indo West Pacific,III Tidal system,26.08,20.4,28.17,650,309.56,NA,
Murdiyarso et al. 2015,3004_181,Published,IDN,Indonesia,131.817351,-1.61846892,Indo West Pacific,III Tidal system,15.04,12.4,24.61,1105,165,NA,
Murdiyarso et al. 2015,3004_182,Published,IDN,Indonesia,131.81754,-1.61849722,Indo West Pacific,III Tidal system,10.59,10.3,11.74,1105,65.28,NA,
Murdiyarso et al. 2015,3004_183,Published,IDN,Indonesia,131.817696,-1.61864359,Indo West Pacific,III Tidal system,17.85,13,19.9,910,139.62,NA,
Murdiyarso et al. 2015,3004_184,Published,IDN,Indonesia,131.817838,-1.61880277,Indo West Pacific,III Tidal system,14.69,13.9,12.38,1495,92.64,NA,
Murdiyarso et al. 2015,3004_185,Published,IDN,Indonesia,131.817981,-1.61895056,Indo West Pacific,III Tidal system,15.75,11.7,28.45,1300,179.25,NA,
Murdiyarso et al. 2015,3004_186,Published,IDN,Indonesia,131.81814,-1.61911784,Indo West Pacific,III Tidal system,13.73,10.8,12.99,1170,75.8,NA,
Murdiyarso et al. 2015,3004_187,Published,IDN,Indonesia,131.809329,-1.61339548,Indo West Pacific,III Tidal system,16.04,19.1,17.34,585,178.37,NA,
Murdiyarso et al. 2015,3004_188,Published,IDN,Indonesia,131.809524,-1.61224778,Indo West Pacific,III Tidal system,22.88,21.1,31.61,585,360.17,NA,
Murdiyarso et al. 2015,3004_189,Published,IDN,Indonesia,131.80937,-1.61315873,Indo West Pacific,III Tidal system,7.9,10,2.33,390,12.5,NA,
Murdiyarso et al. 2015,3004_19,Published,IDN,Indonesia,133.550726,-2.15996872,Indo West Pacific,II Small delta,27.31,22.3,53.33,715,642.29,NA,
Murdiyarso et al. 2015,3004_190,Published,IDN,Indonesia,131.809406,-1.61295017,Indo West Pacific,III Tidal system,14.56,16.2,25.94,1040,226.45,NA,
Murdiyarso et al. 2015,3004_191,Published,IDN,Indonesia,131.809444,-1.61270092,Indo West Pacific,III Tidal system,19.02,19.3,32.86,910,341.91,NA,
Murdiyarso et al. 2015,3004_192,Published,IDN,Indonesia,131.809483,-1.61247366,Indo West Pacific,III Tidal system,15.79,17.4,11.59,455,108.77,NA,
Murdiyarso et al. 2015,3004_193,Published,IDN,Indonesia,136.863837,-4.75904151,Indo West Pacific,III Tidal system,14.57,13.7,20.4,1040,150.34,NA,
Murdiyarso et al. 2015,3004_194,Published,IDN,Indonesia,136.86271,-4.75892833,Indo West Pacific,III Tidal system,20.75,20.1,35.41,845,383.47,NA,
Murdiyarso et al. 2015,3004_195,Published,IDN,Indonesia,136.863606,-4.75902202,Indo West Pacific,III Tidal system,18.81,17.7,22.7,455,216.19,NA,
Murdiyarso et al. 2015,3004_196,Published,IDN,Indonesia,136.86338,-4.75900039,Indo West Pacific,III Tidal system,24.72,18.3,30.28,585,298.9,NA,
Murdiyarso et al. 2015,3004_197,Published,IDN,Indonesia,136.863148,-4.75897659,Indo West Pacific,III Tidal system,21.87,21.5,21.43,455,248.5,NA,
Murdiyarso et al. 2015,3004_198,Published,IDN,Indonesia,136.86293,-4.75896067,Indo West Pacific,III Tidal system,28.21,24.8,38.32,585,511.81,NA,
Murdiyarso et al. 2015,3004_199,Published,IDN,Indonesia,136.861934,-4.76648866,Indo West Pacific,III Tidal system,17.78,21.7,39.17,1300,458.52,NA,
Murdiyarso et al. 2015,3004_2,Published,IDN,Indonesia,133.53562,-2.14293929,Indo West Pacific,II Small delta,23.49,22.5,51.02,845,619.53,NA,
Murdiyarso et al. 2015,3004_20,Published,IDN,Indonesia,133.550487,-2.1599164,Indo West Pacific,II Small delta,22.13,19.9,42.29,975,454.06,NA,
Murdiyarso et al. 2015,3004_200,Published,IDN,Indonesia,136.860846,-4.76610573,Indo West Pacific,III Tidal system,19.63,20.1,16.2,650,175.85,NA,
Murdiyarso et al. 2015,3004_201,Published,IDN,Indonesia,136.861713,-4.76639256,Indo West Pacific,III Tidal system,26.02,21.5,25.29,1040,293.34,NA,
Murdiyarso et al. 2015,3004_202,Published,IDN,Indonesia,136.861521,-4.76633013,Indo West Pacific,III Tidal system,18.18,16.4,16.54,845,146.23,NA,
Murdiyarso et al. 2015,3004_203,Published,IDN,Indonesia,136.861298,-4.7662538,Indo West Pacific,III Tidal system,27.94,19.3,42.81,715,444.93,NA,
Murdiyarso et al. 2015,3004_204,Published,IDN,Indonesia,136.861079,-4.76618347,Indo West Pacific,III Tidal system,33.43,16.6,47.91,1040,429.58,NA,
Murdiyarso et al. 2015,3004_205,Published,IDN,Indonesia,136.807597,-4.83448032,Indo West Pacific,III Tidal system,8.71,14.4,3.8,520,29.46,NA,
Murdiyarso et al. 2015,3004_206,Published,IDN,Indonesia,136.808567,-4.83505874,Indo West Pacific,III Tidal system,7.76,12,3.43,650,22.27,NA,
Murdiyarso et al. 2015,3004_207,Published,IDN,Indonesia,136.807829,-4.83461703,Indo West Pacific,III Tidal system,20.89,17.5,23.03,845,217.81,NA,
Murdiyarso et al. 2015,3004_208,Published,IDN,Indonesia,136.808026,-4.83473732,Indo West Pacific,III Tidal system,23.31,21.6,32.85,780,382.77,NA,
Murdiyarso et al. 2015,3004_209,Published,IDN,Indonesia,136.808215,-4.83485065,Indo West Pacific,III Tidal system,23.57,19.4,26.76,585,280.46,NA,
Murdiyarso et al. 2015,3004_21,Published,IDN,Indonesia,133.550282,-2.15989696,Indo West Pacific,II Small delta,19.07,16.6,26.3,1235,235.85,NA,
Murdiyarso et al. 2015,3004_210,Published,IDN,Indonesia,136.808395,-4.83495484,Indo West Pacific,III Tidal system,27.64,23.9,51.91,715,667.97,NA,
Murdiyarso et al. 2015,3004_211,Published,IDN,Indonesia,136.787284,-4.85914228,Indo West Pacific,III Tidal system,32.01,23.6,62.78,1235,800.11,NA,
Murdiyarso et al. 2015,3004_212,Published,IDN,Indonesia,136.786311,-4.85855834,Indo West Pacific,III Tidal system,26.94,24.5,79.61,1105,1050.09,NA,
Murdiyarso et al. 2015,3004_213,Published,IDN,Indonesia,136.787123,-4.85904345,Indo West Pacific,III Tidal system,24.71,22.4,27.41,1040,330.92,NA,
Murdiyarso et al. 2015,3004_214,Published,IDN,Indonesia,136.78696,-4.85894571,Indo West Pacific,III Tidal system,18.38,18.5,43.82,1430,436.69,NA,
Murdiyarso et al. 2015,3004_215,Published,IDN,Indonesia,136.786782,-4.85884165,Indo West Pacific,III Tidal system,17.11,18.4,42.52,1885,422.65,NA,
Murdiyarso et al. 2015,3004_216,Published,IDN,Indonesia,136.786552,-4.85870136,Indo West Pacific,III Tidal system,18.19,19.7,43.12,1625,457.36,NA,
Murdiyarso et al. 2015,3004_22,Published,IDN,Indonesia,133.550067,-2.15987406,Indo West Pacific,II Small delta,29.56,17.2,44,715,408.21,NA,
Murdiyarso et al. 2015,3004_23,Published,IDN,Indonesia,133.549831,-2.15985422,Indo West Pacific,II Small delta,29.75,21.7,44.64,845,522.45,NA,
Murdiyarso et al. 2015,3004_24,Published,IDN,Indonesia,133.549575,-2.15982242,Indo West Pacific,II Small delta,35.89,20.9,21.74,780,244.8,NA,
Murdiyarso et al. 2015,3004_25,Published,IDN,Indonesia,133.551232,-2.16955051,Indo West Pacific,II Small delta,16.72,20.2,30.08,1235,327.74,NA,
Murdiyarso et al. 2015,3004_26,Published,IDN,Indonesia,133.551036,-2.16957293,Indo West Pacific,II Small delta,15.98,16.4,22.75,1300,201.27,NA,
Murdiyarso et al. 2015,3004_27,Published,IDN,Indonesia,133.550826,-2.16959352,Indo West Pacific,II Small delta,33.86,23.1,23,585,285.81,NA,
Murdiyarso et al. 2015,3004_28,Published,IDN,Indonesia,133.5506,-2.16961076,Indo West Pacific,II Small delta,19,14.4,11.91,650,92.3,NA,
Murdiyarso et al. 2015,3004_29,Published,IDN,Indonesia,133.550373,-2.16963248,Indo West Pacific,II Small delta,30.74,22,25.08,715,297.41,NA,
Murdiyarso et al. 2015,3004_3,Published,IDN,Indonesia,133.535445,-2.1430941,Indo West Pacific,II Small delta,21.29,16.2,40.89,1235,357.39,NA,
Murdiyarso et al. 2015,3004_30,Published,IDN,Indonesia,133.550115,-2.16965394,Indo West Pacific,II Small delta,22.54,19.5,29.79,845,312.5,NA,
Murdiyarso et al. 2015,3004_31,Published,IDN,Indonesia,124.958694,1.69452778,Indo West Pacific,II Small delta,13.87,13.3,10.82,585,77.75,NA,
Murdiyarso et al. 2015,3004_32,Published,IDN,Indonesia,124.958694,1.69452778,Indo West Pacific,II Small delta,8.8,13.1,7.99,1235,56.27,NA,
Murdiyarso et al. 2015,3004_33,Published,IDN,Indonesia,124.958694,1.69452778,Indo West Pacific,II Small delta,8.89,11.9,6.05,845,38.85,NA,
Murdiyarso et al. 2015,3004_34,Published,IDN,Indonesia,124.958694,1.69452778,Indo West Pacific,II Small delta,8.1,11.7,10.87,1755,68.79,NA,
Murdiyarso et al. 2015,3004_35,Published,IDN,Indonesia,124.958694,1.69452778,Indo West Pacific,II Small delta,11.13,21.7,14.52,845,170.07,NA,
Murdiyarso et al. 2015,3004_36,Published,IDN,Indonesia,124.958694,1.69452778,Indo West Pacific,II Small delta,9.21,14.4,10.61,1365,82.21,NA,
