Lat,Lon,Height
26.183,127.667,4.3
25.135,121.459,3.8
23.934,120.314,4.3
23.934,120.314,1.8
23.119,120.089,4
22.502,114.031,4.29
22.502,114.031,3.28
22.502,114.031,4.22
22.502,114.031,3.69
22.502,114.031,3.62
22.502,114.031,3.7
22.502,114.031,2.1
22.502,114.031,3.1
22.502,114.031,3.2
22.502,114.031,3.7
22.502,114.031,3.72
22.502,114.031,3.1
22.502,114.031,3.5
22.502,114.031,2.68
22.502,114.031,3.5
22.502,114.031,2.5
-8.394,114.627,8.4
-8.396,114.629,8.2
-8.394,114.632,7.7
-8.392,114.627,8.2
-8.394,114.631,6.3
-8.394,114.629,5.8
26.183,127.667,3.61
-7.66,109.03,6.8
4.833,100.583,\
4.833,100.6,21
25.487,-80.343,0.97
25.472,-80.345,4.04
6.213,102.179,14.13
22.519,114.024,4.5
12.2,102.5,11.3
12.2,102.5,13.9
12.2,102.5,9.2
21.688,88.338,5.75
21.688,88.338,5.31
21.688,88.338,5.6
21.688,88.338,7.07
21.636,88.33,5.33
21.636,88.33,5.25
21.716,88.296,5.71
21.716,88.296,6.86
21.868,88.643,6.04
21.868,88.643,5.92
21.68,88.635,5.91
19.167,-69.632,\
19.167,-69.635,\
19.168,-69.638,\
19.168,-69.64,\
19.17,-69.649,\
19.17,-69.651,\
19.171,-69.652,\
19.171,-69.654,\
19.171,-69.655,\
19.171,-69.656,\
19.172,-69.658,\
19.172,-69.66,\
19.172,-69.661,\
19.173,-69.663,\
19.128,-69.64,\
19.128,-69.642,\
19.128,-69.644,\
19.127,-69.646,\
19.126,-69.649,\
19.126,-69.65,\
19.126,-69.652,\
19.125,-69.653,\
19.125,-69.655,\
20.953,110.176,8.4
21.003,110.198,10.2
20.979,110.178,11.4
20.909,110.177,13.3
11.766,75.478,\
11.767,75.486,\
11.763,75.515,\
-32.875,151.75,4.4
-33.5,151.5,4.3
12.183,102.567,1
12.183,102.567,1.7
12.183,102.567,3.7
12.183,102.567,9.6
13.057,100.094,4.4
13.058,100.09,2.58
8.825,105.192,\
8.834,105.244,\
8.832,105.216,\
-5.551,105.075,\
-5.537,105.146,\
-5.707,105.266,\
-4.234,119.603,\
-0.008,103.809,20.1
-0.008,103.809,20.8
-0.008,103.809,18.6
-0.008,103.809,23.1
-0.008,103.809,25.7
-0.008,103.809,29.5
-18.836,36.276,4.5
-18.836,36.276,8.5
-18.836,36.276,11.5
-18.836,36.276,15.5
-18.836,36.276,23.5
25.191,-80.646,1.2
-27.401,153.136,9.7
-27.401,153.136,16.4
-27.401,153.136,5.3
-5.759,-35.211,5.4
-33.816,151.139,8.15
-33.816,151.139,6.53
11.068,122.957,\
11.824,122.146,\
-7.812,-34.828,14
-23.0,-44.0,6.1
-4.413,39.51,3
-4.419,39.515,12
9.903,98.567,10.64
-29.8,31.05,7.37
-26.197,-48.745,4.19
-26.195,-48.733,3.13
-26.192,-48.723,2.81
9.35,-82.25,3.94
9.35,-82.25,1.54
9.35,-82.25,0.74
9.35,-82.25,4.14
9.896,118.739,\
9.927,118.761,\
9.942,118.799,\
9.813,118.755,\
9.835,118.744,\
9.814,118.763,\
6.753,99.852,5.2
1.284,-78.906,40.13
0.611,-80.016,17.67
0.362,-80.038,20.61
-0.635,-80.419,21.8
23.62,58.481,\
8.709,104.821,\
8.709,104.82,\
8.708,104.82,\
-13.553,48.452,6.67
-13.574,48.445,4.36
-13.561,48.461,1.7
27.86,-97.08,\
27.86,-97.08,\
-4.477,-37.779,\
-4.449,-37.786,\
-4.539,-37.782,\
-2.869,-40.145,\
-2.844,-40.134,\
-2.85,-40.031,\
-2.393,104.76,\
-2.384,104.789,\
-2.368,104.81,\
-2.346,104.833,\
-2.315,104.843,\
11.743,122.387,6.16
11.743,122.387,3.78
10.793,122.706,6.67
10.793,122.706,4.63
10.762,122.624,1.99
10.838,122.784,2.89
24.483,124.217,\
4.867,-52.317,3.5
4.867,-52.317,7.7
5.425,-52.917,2.8
5.425,-52.917,19.6
4.867,-52.317,22.7
5.5,-53.167,23
5.425,-52.917,19.1
20.483,86.69,\
20.483,86.688,\
20.48,86.726,\
20.479,86.728,\
20.382,86.735,\
20.379,86.734,\
-20.717,116.617,\
-20.333,118.617,\
-22.317,114.117,\
-20.717,116.617,\
-20.333,118.617,\
-21.967,113.95,\
-5.817,110.45,4.7
-5.817,110.45,7.5
-5.817,110.45,13.6
11.8,122.2,16.5
11.8,122.2,8.4
11.8,122.2,16.6
