Lat,Lon,Height
9.588,138.128,0
9.588,138.128,0
9.588,138.128,0
16.3,120.456,12
16.215,120.248,5
16.353,120.346,9
16.372,120.2,14
16.25,119.894,14
19.95,110.583,12
19.95,110.583,12
19.95,110.583,12
25.517,119.783,15
25.517,119.783,15
25.517,119.783,15
27.278,120.299,13
27.266,120.203,8
-19.95,-40.157,12
-19.95,-40.157,12
-19.95,-40.157,12
-19.95,-40.157,12
-19.95,-40.157,12
-19.95,-40.157,12
-20.183,34.75,0
11.489,79.765,0
11.489,79.765,0
11.489,79.765,0
11.489,79.765,0
11.489,79.765,0
11.489,79.765,0
11.49,79.778,5
11.49,79.778,5
11.49,79.778,5
11.49,79.778,5
11.49,79.778,5
11.49,79.778,5
11.49,79.778,5
11.49,79.778,5
11.49,79.778,5
11.49,79.778,5
11.49,79.778,5
13.814,121.448,14
13.813,121.452,13
22.519,114.024,9
9.89,106.675,10
9.89,106.675,10
9.89,106.675,10
9.89,106.675,10
9.89,106.675,10
9.89,106.675,10
9.89,106.675,10
9.89,106.675,10
9.89,106.675,10
9.89,106.675,10
9.89,106.675,10
9.89,106.675,10
9.89,106.675,10
4.798,100.647,16
4.798,100.647,16
4.798,100.647,16
4.798,100.647,16
4.798,100.647,16
4.798,100.647,16
4.798,100.647,16
4.798,100.647,16
4.798,100.647,16
-33.978,151.019,24
-34.017,151.162,10
8.29,79.84,10
8.3,79.84,6
8.23,79.83,12
8.18,79.74,9
8.19,79.78,16
8.27,79.78,6
-10.087,123.748,5
-10.087,123.748,5
-10.087,123.748,5
-10.087,123.748,5
-10.087,123.748,5
-10.087,123.748,5
-10.087,123.748,5
-10.087,123.748,5
-10.087,123.748,5
-10.087,123.748,5
-10.087,123.748,5
-10.087,123.748,5
16.315,120.01,13
16.202,119.988,6
16.32,120.002,14
16.371,119.964,12
11.719,122.39,11
11.719,122.391,10
16.243,119.93,9
10.201,124.166,8
10.088,124.119,13
15.494,119.923,14
9.543,138.092,0
9.556,138.178,0
