Lat,Lon,Height
22.502,114.031,11
22.502,114.031,11
22.502,114.031,11
22.502,114.031,11
22.502,114.031,11
22.502,114.031,11
22.502,114.031,11
22.502,114.031,11
22.502,114.031,11
-8.394,114.627,3
-8.396,114.629,10
-8.394,114.632,6
-8.392,114.627,8
-8.394,114.631,4
-8.394,114.629,4
26.183,127.667,0
-7.66,109.03,3
4.833,100.583,23
4.833,100.6,16
25.487,-80.343,11
25.472,-80.345,0
6.213,102.179,8
22.519,114.024,10
12.2,102.5,7
12.2,102.5,7
12.2,102.5,7
21.688,88.338,3
21.688,88.338,3
21.688,88.338,3
21.688,88.338,3
21.636,88.33,3
21.636,88.33,3
21.716,88.296,4
21.716,88.296,4
21.868,88.643,3
21.868,88.643,3
21.68,88.635,0
19.167,-69.632,2
19.167,-69.635,14
19.168,-69.638,16
19.168,-69.64,12
19.17,-69.649,15
19.17,-69.651,17
19.171,-69.652,26
19.171,-69.654,22
19.171,-69.655,20
19.171,-69.656,21
19.172,-69.658,9
19.172,-69.66,6
19.172,-69.661,5
19.173,-69.663,2
19.128,-69.64,8
19.128,-69.642,17
19.128,-69.644,11
19.127,-69.646,13
19.126,-69.649,14
19.126,-69.65,16
19.126,-69.652,17
19.125,-69.653,17
19.125,-69.655,10
20.953,110.176,9
21.003,110.198,6
20.979,110.178,10
20.909,110.177,4
11.766,75.478,7
11.767,75.486,8
11.763,75.515,12
-32.875,151.75,0
-33.5,151.5,0
12.183,102.567,6
12.183,102.567,6
12.183,102.567,6
12.183,102.567,6
13.057,100.094,2
13.058,100.09,3
8.825,105.192,9
8.834,105.244,11
8.832,105.216,0
-5.551,105.075,12
-5.537,105.146,10
-5.707,105.266,5
-4.234,119.603,9
-0.008,103.809,13
-0.008,103.809,13
-0.008,103.809,13
-0.008,103.809,13
-0.008,103.809,13
-0.008,103.809,13
