FID,CLSFID,ID_Country,ORIG_FID,Lat,Lon
11196,10990,10990 Australia,11196,-34.725069041600001,135.840065006000003
11197,10991,10991 Australia,11197,-34.621880071299998,135.885015398999997
11198,10995,10995 Australia,11198,-34.428440850299999,136.079120870999986
11199,10996,10996 Australia,11199,-33.947522845800002,136.556168113000012
11200,10998,10998 Australia,11200,-33.603148716299998,137.252793007000008
11201,10999,10999 Australia,11201,-33.000851440399998,137.702160281999994
11202,11000,11000 Australia,11202,-33.343759566800003,137.859609844999994
11203,11001,11001 Australia,11203,-34.447207908400003,137.482690471000012
11204,11003,11003 Australia,11204,-34.866415632699997,137.813287902000013
11205,11005,11005 Australia,11205,-34.504146806199998,138.293556059999986
11206,11006,11006 Australia,11206,-34.769743863899997,138.503860553999999
11207,11007,11007 Australia,11207,-34.936709261399997,138.498720759999998
11208,11008,11008 Australia,11208,-35.144628864600001,138.460086733999987
11209,11009,11009 Australia,11209,-35.259773873500002,138.457025866999999
11210,11012,11012 Australia,11210,-35.402514330400003,138.372254572000003
11211,11015,11015 Australia,11211,-35.395105668600003,139.000673240999987
11212,11016,11016 Australia,11212,-35.496543440300002,139.370783251999995
11213,11018,11018 Australia,11213,-36.744664435700003,139.865016693000001
11214,11712,11712 Australia,11214,-35.995312332200001,137.298718158000014
11215,11023,11023 Australia,11215,-38.073017493400002,140.738930291000003
11216,11024,11024 Australia,11216,-38.069913841599998,140.987431786000002
11217,11025,11025 Australia,11217,-38.261302295800000,141.331527955000013
11218,11026,11026 Australia,11218,-38.267143512600001,141.761231519000006
11219,11027,11027 Australia,11219,-38.400758995700002,142.496927093000011
11220,11028,11028 Australia,11220,-38.732858116400003,143.243820011999986
11221,11029,11029 Australia,11221,-38.834575475000001,143.585604875999991
11222,11030,11030 Australia,11222,-38.620855472000002,143.924908076000008
11223,11031,11031 Australia,11223,-38.401629928799998,144.217901476000009
11224,11032,11032 Australia,11224,-38.119028087899999,144.378234866000014
11225,11033,11033 Australia,11225,-38.142472990000002,144.363860458999994
11226,11034,11034 Australia,11226,-38.172220889800002,144.416411466999989
11227,11035,11035 Australia,11227,-38.163010428800000,144.583883141000001
11228,11036,11036 Australia,11228,-38.259828055000000,144.679672100999994
11229,11037,11037 Australia,11229,-38.297639732699999,144.637427282000004
11230,11038,11038 Australia,11230,-38.298093227099997,144.605066719999996
11231,11039,11039 Australia,11231,-38.296299208000001,144.474048713000002
11232,11042,11042 Australia,11232,-38.111753460199999,144.401306154999986
11233,11043,11043 Australia,11233,-38.042376249500002,144.628245663000001
11234,11044,11044 Australia,11234,-37.897092903599997,144.839498824999993
