Lat,Lon,Dataset
8.036,98.9539,Rovai et al. only
8.0583,98.9495,Rovai et al. only
8.0435,98.956,Rovai et al. only
8.0435,98.9562,Rovai et al. only
8.0435,98.9565,Rovai et al. only
8.0434,98.9566,Rovai et al. only
8.0433,98.9569,Rovai et al. only
8.4488,100.1572,Rovai et al. only
8.4487,100.1575,Rovai et al. only
8.4486,100.1577,Rovai et al. only
8.4486,100.1579,Rovai et al. only
8.0359,98.9541,Rovai et al. only
8.4485,100.1581,Rovai et al. only
8.4574,100.1782,Rovai et al. only
8.4573,100.1784,Rovai et al. only
8.4573,100.1786,Rovai et al. only
8.4573,100.1788,Rovai et al. only
8.4572,100.1791,Rovai et al. only
8.4666,100.1818,Rovai et al. only
8.4666,100.182,Rovai et al. only
8.4665,100.1822,Rovai et al. only
8.4664,100.1824,Rovai et al. only
8.0358,98.9542,Rovai et al. only
8.4663,100.1826,Rovai et al. only
8.4067,100.1622,Rovai et al. only
8.4067,100.1624,Rovai et al. only
8.4065,100.1626,Rovai et al. only
8.4065,100.1628,Rovai et al. only
8.4064,100.1631,Rovai et al. only
8.439,100.1749,Rovai et al. only
8.439,100.1751,Rovai et al. only
8.4389,100.1753,Rovai et al. only
8.4388,100.1755,Rovai et al. only
8.058,98.9438,Rovai et al. only
8.4387,100.1757,Rovai et al. only
8.416,100.2099,Rovai et al. only
8.4159,100.2101,Rovai et al. only
8.4158,100.2103,Rovai et al. only
8.4158,100.2105,Rovai et al. only
8.4158,100.2107,Rovai et al. only
8.4478,100.178,Rovai et al. only
8.4477,100.1782,Rovai et al. only
8.4476,100.1784,Rovai et al. only
8.4475,100.1786,Rovai et al. only
8.0581,98.9439,Rovai et al. only
8.4474,100.1789,Rovai et al. only
8.4756,100.1678,Rovai et al. only
8.4755,100.168,Rovai et al. only
8.4754,100.1682,Rovai et al. only
8.4754,100.1685,Rovai et al. only
8.4753,100.1687,Rovai et al. only
8.44,100.1849,Rovai et al. only
8.4399,100.1851,Rovai et al. only
8.4398,100.1853,Rovai et al. only
8.4398,100.1855,Rovai et al. only
8.0583,98.9441,Rovai et al. only
8.4397,100.1858,Rovai et al. only
8.4595,100.1582,Rovai et al. only
8.4594,100.1583,Rovai et al. only
8.4593,100.1585,Rovai et al. only
8.4593,100.1588,Rovai et al. only
8.4593,100.159,Rovai et al. only
7.38,99.5675,Rovai et al. only
7.3798,99.5677,Rovai et al. only
7.3798,99.5679,Rovai et al. only
7.3796,99.5681,Rovai et al. only
8.0583,98.9444,Rovai et al. only
7.3773,99.5692,Rovai et al. only
7.3774,99.5693,Rovai et al. only
7.3776,99.5695,Rovai et al. only
7.3773,99.5662,Rovai et al. only
7.3771,99.5662,Rovai et al. only
7.377,99.5661,Rovai et al. only
7.3763,99.5688,Rovai et al. only
7.3757,99.5686,Rovai et al. only
7.3758,99.5685,Rovai et al. only
7.3756,99.5684,Rovai et al. only
-37.6219,176.1421,Rovai et al. only
10.33333333,-75.5,Rovai et al. only
-22.57721389,-42.004058,Rovai et al. only
-22.57721389,-42.004058,Rovai et al. only
-12.916667,45.15,Rovai et al. only
-12.916667,45.15,Rovai et al. only
10.80478056,-74.307886,Rovai et al. only
-20.25,-40.333333,Rovai et al. only
-20.25,-40.333333,Rovai et al. only
-20.25,-40.333333,Rovai et al. only
-20.25,-40.333333,Rovai et al. only
-20.25,-40.333333,Rovai et al. only
-20.25,-40.333333,Rovai et al. only
-20.25,-40.333333,Rovai et al. only
-20.25,-40.333333,Rovai et al. only
-20.25,-40.333333,Rovai et al. only
-20.25,-40.333333,Rovai et al. only
-20.25,-40.333333,Rovai et al. only
-20.25,-40.333333,Rovai et al. only
-20.25,-40.333333,Rovai et al. only
-20.26666667,-40.3,Rovai et al. only
-20.26666667,-40.3,Rovai et al. only
-20.03333333,-40.183333,Rovai et al. only
-20.03333333,-40.183333,Rovai et al. only
-20.03333333,-40.183333,Rovai et al. only
-20.26333333,-40.304722,Rovai et al. only
-20.26333333,-40.304722,Rovai et al. only
-20.26333333,-40.304722,Rovai et al. only
-25.49381389,-48.691875,Rovai et al. only
-25.49381389,-48.691875,Rovai et al. only
-25.49381389,-48.691875,Rovai et al. only
-26.19460833,-48.749247,Rovai et al. only
-26.19460833,-48.749247,Rovai et al. only
-26.19460833,-48.749247,Rovai et al. only
-25.83966111,-48.576794,Rovai et al. only
-25.83966111,-48.576794,Rovai et al. only
-25.83966111,-48.576794,Rovai et al. only
13.069703,-87.224885,Rovai et al. only
13.069693,-87.225325,Rovai et al. only
25.409722,-80.964167,Rovai et al. only
25.376873,-81.032214,Rovai et al. only
25.364407,-81.077768,Rovai et al. only
25.215729,-80.650653,Rovai et al. only
25.196616,-80.641973,Rovai et al. only
25.232463,-80.524441,Rovai et al. only
-24.89666667,-47.801667,Rovai et al. only
-24.89666667,-47.801667,Rovai et al. only
9.824897,118.7504,Rovai et al. only
18.65454444,-91.746944,Rovai et al. only
18.65454444,-91.746944,Rovai et al. only
18.65454444,-91.746944,Rovai et al. only
18.73730556,-91.624353,Rovai et al. only
18.73730556,-91.624353,Rovai et al. only
18.73730556,-91.624353,Rovai et al. only
-23.98333333,-46.283333,Rovai et al. only
-23.9,-46.3,Rovai et al. only
-23.9,-46.316667,Rovai et al. only
-23.9,-46.316667,Rovai et al. only
-23.85,-46.35,Rovai et al. only
-23.85,-46.35,Rovai et al. only
-23.86666667,-46.35,Rovai et al. only
-23.86666667,-46.35,Rovai et al. only
-23.9,-46.383333,Rovai et al. only
-23.91666667,-46.4,Rovai et al. only
-23.93333333,-46.416667,Rovai et al. only
-23.98333333,-46.283333,Rovai et al. only
-23.93333333,-46.416667,Rovai et al. only
-23.96666667,-46.4,Rovai et al. only
-23.96666667,-46.4,Rovai et al. only
-23.96666667,-46.25,Rovai et al. only
