Tavg,Tmin,Pavg,Pmin,Srad,VPD,PET,Cyclone,Runoff,TidalRange,Dist2Coast,Salinity,SeaTemp,DEM,Slope,Pop,Height
26.933332,21.9,3106.0,148.0,16683,0.57235277,1589.736,0.06,2039.7669677734373,1.56899728307745,438.5509949,31.302024873790245,30.166753369759984,11,1.00652015209198,118.492256,33
27.7625,22.3,1882.0,75.0,18429,0.84771687,2085.6355,0.0,788.8748168945312,2.16014103846817,4107.4501953,33.15339295979804,29.0028351103437,13,0.154408648610115,61.216137,5.4
26.741667,21.8,1487.0,33.0,18103,0.720566,1945.8169,0.1,570.0640258789062,1.89395588235294,795.9489746,33.70771864149658,28.258165632188632,3,0.3452648818492889,292.80765,8.4
26.8875,22.6,2295.0,7.0,17534,0.57380086,1995.0734,0.46,1180.6629638671875,2.29447272727273,2100.4199219,30.033352972083264,28.91847799020486,4,0.4501665234565735,109.92135,11
25.929167,22.0,4148.0,218.0,16423,0.4702897,1789.1395,0.0,896.211669921875,2.63345588235294,397.9559937,28.55936032440784,28.086926578394493,33,8.298142433166504,71.963486,6.49
26.283333,14.3,1785.0,6.0,17757,0.7230568,1047.5947,2.38,621.8372802734375,1.34286556839745,11.3940001,27.53396619444088,27.70966933724453,2,0.3936611115932464,326.08307,5.92
27.516666,21.2,1028.0,12.0,20625,0.75971603,1206.5491,0.36,0.0,0.521879243697479,143.2969971,34.21407251846156,28.42873461705335,39,3.523384094238281,62.64295,4.4
24.204166,14.8,1427.0,33.0,18169,0.7654535,1721.823,0.96,180.11740112304688,0.693809083810515,298.3919983,36.22494120581096,26.83328421546449,4,0.3936611115932464,2.6320536,4.04
20.729166,9.5,1215.0,35.0,18240,0.7790745,948.8875,0.28,0.0,1.55383243056754,65.7913971,35.4892337357217,23.668524775483988,4,2.320007801055908,1.6822815,5.3
24.191666,14.7,1433.0,34.0,18195,0.76878685,1721.823,0.96,180.11740112304688,0.693726713517265,187.0720062,36.22494120581096,26.83328421546449,9,0.244140625,0.0,0.97
